,datetime,true_aqi,predicted_aqi,city
353,2023-12-06 17:00:00,5,5,Chiang Mai
352,2023-12-06 17:00:00,5,5,Bangkok
355,2023-12-06 18:00:00,5,5,Chiang Mai
354,2023-12-06 18:00:00,5,5,Bangkok
356,2023-12-06 19:00:00,5,5,Bangkok
357,2023-12-06 19:00:00,5,5,Chiang Mai
358,2023-12-06 20:00:00,5,5,Chiang Mai
359,2023-12-06 20:00:00,5,5,Bangkok
360,2023-12-06 21:00:00,4,4,Bangkok
361,2023-12-06 21:00:00,5,5,Chiang Mai
362,2023-12-06 22:00:00,2,1,Chiang Mai
363,2023-12-06 22:00:00,3,5,Bangkok
364,2023-12-06 23:00:00,5,5,Bangkok
365,2023-12-06 23:00:00,4,4,Chiang Mai
367,2023-12-07 00:00:00,5,5,Bangkok
366,2023-12-07 00:00:00,5,5,Chiang Mai
368,2023-12-07 01:00:00,5,5,Bangkok
369,2023-12-07 01:00:00,5,5,Chiang Mai
370,2023-12-07 02:00:00,4,5,Chiang Mai
371,2023-12-07 02:00:00,4,4,Bangkok
372,2023-12-07 03:00:00,5,5,Bangkok
373,2023-12-07 03:00:00,5,5,Chiang Mai
374,2023-12-07 04:00:00,5,5,Chiang Mai
375,2023-12-07 04:00:00,4,4,Bangkok
376,2023-12-07 05:00:00,3,3,Bangkok
377,2023-12-07 05:00:00,5,5,Chiang Mai
379,2023-12-07 06:00:00,5,5,Bangkok
378,2023-12-07 06:00:00,5,5,Chiang Mai
380,2023-12-07 07:00:00,5,4,Bangkok
381,2023-12-07 07:00:00,5,4,Chiang Mai
382,2023-12-07 08:00:00,2,2,Chiang Mai
383,2023-12-07 08:00:00,5,5,Bangkok
384,2023-12-07 09:00:00,4,4,Bangkok
385,2023-12-07 09:00:00,5,5,Chiang Mai
386,2023-12-07 10:00:00,4,3,Chiang Mai
387,2023-12-07 10:00:00,5,5,Bangkok
388,2023-12-07 11:00:00,5,5,Bangkok
389,2023-12-07 11:00:00,5,5,Chiang Mai
391,2023-12-07 12:00:00,5,5,Bangkok
390,2023-12-07 12:00:00,3,3,Chiang Mai
392,2023-12-07 13:00:00,5,5,Bangkok
393,2023-12-07 13:00:00,3,3,Chiang Mai
394,2023-12-07 14:00:00,4,4,Bangkok
395,2023-12-07 14:00:00,5,5,Chiang Mai
396,2023-12-07 15:00:00,4,4,Bangkok
397,2023-12-07 15:00:00,2,2,Chiang Mai
398,2023-12-07 16:00:00,3,3,Chiang Mai
399,2023-12-07 16:00:00,4,5,Bangkok
400,2023-12-07 17:00:00,4,3,Bangkok
401,2023-12-07 17:00:00,5,4,Chiang Mai
402,2023-12-07 18:00:00,5,5,Chiang Mai
403,2023-12-07 18:00:00,4,5,Bangkok
405,2023-12-07 19:00:00,5,5,Chiang Mai
404,2023-12-07 19:00:00,5,5,Bangkok
407,2023-12-07 20:00:00,4,5,Bangkok
406,2023-12-07 20:00:00,5,5,Chiang Mai
408,2023-12-07 21:00:00,5,5,Bangkok
409,2023-12-07 21:00:00,5,5,Chiang Mai
410,2023-12-07 22:00:00,4,4,Chiang Mai
411,2023-12-07 22:00:00,4,4,Bangkok
412,2023-12-07 23:00:00,5,5,Bangkok
413,2023-12-07 23:00:00,5,5,Chiang Mai
414,2023-12-08 00:00:00,3,2,Chiang Mai
415,2023-12-08 00:00:00,3,4,Bangkok
416,2023-12-08 01:00:00,5,5,Bangkok
417,2023-12-08 01:00:00,4,4,Chiang Mai
419,2023-12-08 02:00:00,3,3,Bangkok
418,2023-12-08 02:00:00,3,3,Chiang Mai
420,2023-12-08 03:00:00,5,5,Bangkok
421,2023-12-08 03:00:00,4,4,Chiang Mai
422,2023-12-08 04:00:00,4,5,Chiang Mai
423,2023-12-08 04:00:00,1,2,Bangkok
424,2023-12-08 05:00:00,5,5,Bangkok
425,2023-12-08 05:00:00,3,3,Chiang Mai
426,2023-12-08 06:00:00,5,5,Chiang Mai
427,2023-12-08 06:00:00,5,5,Bangkok
428,2023-12-08 07:00:00,5,5,Bangkok
429,2023-12-08 07:00:00,1,1,Chiang Mai
431,2023-12-08 08:00:00,4,4,Bangkok
